plastic_id,plastic_code,plastic_family,plastic_subtype,thickness_mm,width_mm,standard_length_m,color_code_raw,color_name_normalized,electrical_property,silicone_status_normalized,additive_flags,additive_text_raw,appearance_text_raw,an_code_raw,an_meaning_normalized,si_code_raw,ab_code_raw,status_review,remarks_raw,is_active,created_by,created_at,updated_at
f65c43a4-3b6e-4246-8c4f-fa18ed015aa0,PLA-4BF7524D,PET,,0.78,420.0,250.0,G,green,normal,,,,,,,,,approved,PET(G)0.78x420x250(レグルス),1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
ffa8c66b-55ec-4300-91ac-d6242c2143f6,PLA-92824F33,PS,,0.78,550.0,250.0,N,natural,normal,unknown,,,,AN,,SI,,approved,PS(N)0.78x550x250 AN Si,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
cab076d9-493b-4a46-9e13-5430132603c6,PLA-70C1CD04,PP,,0.58,405.0,350.0,N,natural,normal,,,,,AN,,,,approved,PP(N)0.58x405x350 AN,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
e41c00a8-226b-40ce-8051-56d83cc52cf0,PLA-21C4E3C6,PP,,0.7,520.0,300.0,B,black,normal,,,,,AN,,,,approved,PP(B)0.7x520x300 AN 1342m,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
250c86a7-3494-4cd9-abfa-a10836ee251f,PLA-7254E2E5,PET,,0.78,520.0,250.0,G,green,normal,,,,,,,,,approved,PET(G)0.78x520x250,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
d4f2c52e-1dfa-43c4-bfb5-d6ff493ba0d7,PLA-09F7B641,PP,,1.0,405.0,150.0,B,black,normal,,,,,,,,,approved,PP(B)1.0x405x150(マルアイ)10m,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
1b2bfd0c-3f77-494f-83b8-424dd7c9149e,PLA-16F80149,PS,,0.98,405.0,200.0,N,natural,normal,unknown,,,,AN,,SI,,approved,PS(N)0.98x405x200 AN Si,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
28d7ab3c-9bb6-4a43-98c8-75415db6c7bf,PLA-35387410,PP,,0.58,520.0,350.0,N,natural,normal,,,,,AN,,,,approved,PP(N)0.58x520x350 AN,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
230093b0-5b2c-4d73-8f1c-0e423468cf6a,PLA-449D1307,PP,,1.0,520.0,200.0,B,black,normal,,,,,,,,,approved,PP(B)1.0X520X200(ミクローム) 240m,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
7ab39207-1d04-43a8-a32d-9e0e42dd2d3e,PLA-A4B40990,PP,,1.0,640.0,200.0,B,black,normal,,,,,,,,,approved,PP(B)1.0X640X200(ミクローム) 0m,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
925be86a-f2c1-4844-a8b8-1a565402243a,PLA-39EF13F4,PS,,0.98,435.0,250.0,N,natural,normal,unknown,,,,AN,,SI,,approved,PS(N)0.98x435x250 AN SI,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
d4357d49-ab54-4036-ad95-6d18ae511252,PLA-BC278803,PP,,0.58,550.0,350.0,N,natural,normal,,,,,AN,,,,approved,PP(N)0.58x550x350 AN,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
9126abaa-cbb6-4c9f-9cac-c5f46c21d290,PLA-29926858,PET,,0.98,550.0,150.0,G,green,normal,,,,,,,,,approved,PET(G)0.98x550x150,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
c14a317f-deff-45fe-8e72-0386b4093771,PLA-47207E33,PP,,0.98,550.0,200.0,N,natural,normal,,,,,,,,,approved,PP(N)0.98x550x200 スプ 1087m,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
5cd31f3e-c843-4a94-bbf2-95506832db4d,PLA-3A64F99B,PS,,0.98,520.0,200.0,N,natural,normal,,,,,AN,,,,approved,PS(N)0.98x520x200 AN,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
2bf34f94-f0a1-408a-9afe-eb0bf79c2643,PLA-3E6CACFE,PET,,1.0,550.0,150.0,B,black,normal,,,,,,,,,approved,PET(B)1.0x550x150(レグルス),1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
ca14a75a-d62d-4154-9284-a4ec34c2c3c7,PLA-2A4378A5,PS,,0.98,520.0,200.0,N,natural,normal,unknown,,,,AN,,SI,,approved,PS(N)0.98x520x200 AN Si,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
69e320b3-dad7-449d-8264-502288e05f2f,PLA-4AE11275,PVC,,0.2,640.0,300.0,CL,clear,normal,,,,,,,,,approved,PVC(CL)0.2x640x300SI 300m,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
81d8e8b1-5c1c-47f1-801b-5a291299f4b2,PLA-B67D59CC,PVC,,0.3,640.0,200.0,CL,clear,normal,,,,,,,,,approved,PVC(CL)0.3x640x200SI 0m,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
d822c8fe-b7e4-4040-b1b3-416cb58e1916,PLA-E0568AB6,PS,,0.98,550.0,200.0,N,natural,normal,,,,,AN,,,,approved,PS(N)0.98x550x200 AN,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
17520f59-5481-4639-95de-bcefd7d57d42,PLA-81F15CC2,PP,,0.78,520.0,250.0,N,natural,normal,,,,,AN,,,,approved,PP(N)0.78x520x250 AN(東プラ),1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
30f0bfe1-e758-43e0-a14f-1db5c7b33894,PLA-B2F2D085,PVC,,0.4,640.0,150.0,CL,clear,normal,,,,,,,,,approved,PVC(CL)0.4x640x150SI 432m,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
83ae21dd-4f38-4fa6-af74-f323bb4811bc,PLA-00CFE2A9,PVC,,0.5,460.0,120.0,CL,clear,normal,,,,,,,,,approved,PVC(CL)0.5x460x120SI 217m,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
6e470b67-c838-41bd-8baa-d295832b0523,PLA-0B886537,PS,,0.98,550.0,200.0,N,natural,normal,,,,,,,,,approved,PS(N)0.98x550x200 ANSi,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
982755ba-b6c7-4fec-b04a-56881e0bff9e,PLA-9D3E3B6B,PP,,0.78,520.0,250.0,N,natural,normal,,,,,AN,,,,approved,PP(N)0.78x520x250 AN (SR),1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
