MoldCutterID,CutterID,MoldDesignID,MoldID,DateEntry,MoldCutterNotes
534,553,259,1945,16-Aug-24,
495,554,97,2968,16-Aug-24,
1859,554,1363,,09-Dec-24,
820,555,1597,1101,16-Aug-24,
1072,556,2865,4118,16-Aug-24,
1073,556,2868,4119,16-Aug-24,R3
574,557,508,663,16-Aug-24,
575,557,509,3640,16-Aug-24,
578,557,512,672,16-Aug-24,
579,557,513,560,16-Aug-24,
580,557,514,559,16-Aug-24,
895,558,1899,587,16-Aug-24,
893,558,1900,589,16-Aug-24,
894,558,1902,590,16-Aug-24,
877,559,1808,829,16-Aug-24,
544,560,292,3415,16-Aug-24,
545,560,293,3416,16-Aug-24,
827,561,1643,2144,16-Aug-24,
828,561,1644,916,16-Aug-24,
829,561,1645,2156,16-Aug-24,
956,562,2079,4004,16-Aug-24,
957,562,2088,4005,16-Aug-24,
546,563,294,695,16-Aug-24,
950,564,2057,3998,16-Aug-24,
626,566,606,2087,16-Aug-24,
627,566,897,3689,16-Aug-24,
1034,567,2310,4081,16-Aug-24,
1036,567,2315,1963,16-Aug-24,
1035,567,2316,4080,16-Aug-24,
1095,568,2715,4140,16-Aug-24,
1094,568,2840,2231,16-Aug-24,
1372,570,3157,3038,11-Sep-24,
486,571,85,2123,16-Aug-24,
2788,572,1069,,28-Jan-25,
1033,573,2316,4080,16-Aug-24,SZT-007T
703,574,971,3761,16-Aug-24,
702,574,972,2971,16-Aug-24,KIK003Txxx
631,575,673,2462,16-Aug-24,
632,575,674,3694,16-Aug-24,
633,575,688,1864,16-Aug-24,
634,575,689,1870,16-Aug-24,
635,575,694,1867,16-Aug-24,
636,575,695,1868,16-Aug-24,
637,575,696,1869,16-Aug-24,
638,575,697,1866,16-Aug-24,
494,578,89,2122,16-Aug-24,ADY-099B
493,578,90,2121,16-Aug-24,ADY-099T
1114,579,2511,3049,16-Aug-24,
704,580,969,3762,16-Aug-24,
1544,580,3596,,30-Sep-24,
707,581,970,3765,16-Aug-24,
706,581,972,2971,16-Aug-24,
985,583,2127,3033,16-Aug-24,
1039,584,2352,2090,16-Aug-24,
496,586,132,582,16-Aug-24,ALP-001
497,586,3238,1803,16-Aug-24,
487,588,90,2121,16-Aug-24,ADY-099TB
640,589,683,2993,16-Aug-24,
697,590,965,2211,16-Aug-24,
880,591,1836,1820,16-Aug-24,
554,592,309,3621,16-Aug-24,
701,593,975,3759,16-Aug-24,
983,594,2132,4031,16-Aug-24,
709,596,974,3767,16-Aug-24,
369,597,702,364,08-Aug-24,JAE-169
370,597,706,367,08-Aug-24,
